,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
2018-03-11,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,DASH,MIOTA,XEM,TRX,USDT,ETC,VEN,NANO,LSK,OMG,BCN,WAVES,STRAT,XVG,RHOC,MKR,SNT,DOGE,SC,BTS,DCR,AE,WTC,REP,KMD,BTM,VERI,ZRX,ZIL,ARK,ETN,CNX,KCS,ARDR,SYS,BAT,HC,DRGN,GAS,DGB,GNT,PIVX,VGX,MONA,AION,QASH,FCT,NAS,FUN,LRC,ELF,R,DCN,GBYTE,PART,RDD,XZC,GXC,IOST,LINK,SALT,KNC,KIN,POLY,EMC,NXT,SMART,NEBL,DENT,NXS,BNT,POWR,ICN,STORJ,MAID,REQ,AGI,PAY,PLR,SRN,NULS,ENG,BTX,CND,GVT,BLOCK,GNO,QSP,VTC,BTCD,ENJ,PPP,ACT,RDN,THETA,GAME,SAN,CVC,SUB,MCO,RLC,IGNIS,MNX,ANT,WAXP,MTL,NAV,MANA,SLS,UBQ,SKY,DTR,CS,PURA,ZEN,XDN,VEE,ABT,POE,STORM,XAS,SPHTX,ADX,TNB,SPC,HPB,EDG,FSN,LEND,MED,PRL,C20,ION,JNT,BCO,POA,PHX,BLZ,EVN,XP,PPC,OST,BIX,TEL,VIBE,MDS,BAY,DEW,AMB,QRL,SNM,AGRS,FTC,WINGS,BURST,EDO,SPANK,MLN,DATA,RCN,BCPT,BRD,WGR,ITC,CLOAK,XNS,UTNP,HTML,SNGLS,UTK,DBC,TRAC,VIA,LBC,MGO,INK,XBY,WABI,APPC,EMC2,WPR,ETP,QTUM,BTG,ICX,ZEC,BNB,DGD,STEEM,PPT
2018-03-18,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,EOS,MIOTA,XMR,DASH,XEM,USDT,TRX,VEN,ETC,LSK,NANO,OMG,BTG,QTUM,BNB,ZEC,ICX,DGD,PPT,BCN,STEEM,WAVES,XVG,STRAT,MKR,RHOC,DOGE,SC,DCR,SNT,BTS,REP,AE,BTM,WTC,KMD,ZIL,AION,ARDR,CNX,ARK,ZRX,ETN,HC,VERI,MONA,KCS,DGB,PIVX,SYS,BAT,DRGN,FCT,R,QASH,GNT,GAS,VGX,LRC,FUN,NAS,GXC,XZC,ONT,EMC,IOST,DCN,KIN,PART,GBYTE,RDD,ELF,KNC,SALT,LINK,MAID,NXT,SMART,PAY,NCASH,POWR,BNT,POLY,NEBL,NXS,CND,REQ,ICN,MNX,SRN,DENT,STORJ,NULS,BTX,GVT,ENG,AGI,GNO,BTCD,SUB,BLOCK,QSP,MANA,PLR,DTR,VTC,THETA,SAN,RLC,ACT,MCO,ENJ,CVC,GAME,MTL,STORM,GNX,RDN,IGNIS,SKY,ANT,POE,SLS,XAS,CS,UBQ,NAV,TNB,EVN,WAXP,ZEN,PRL,PPP,ABT,POA,HPB,AUTO,PURA,BIX,XP,XDN,SPHTX,DEW,EDG,ADX,BLZ,ION,VEE,FSN,C20,BCO,LEND,MDS,DATA,VIBE,MED,EMC2,JNT,WGR,FTC,SNM,BAY,CMT,PPC,TEL,OST,PXS,QRL,PHX,EDO,RCN,AMB,SPANK,XBY,WINGS,UTNP,TAAS,DBC,HTML,GTO,SMT,TRAC,LBC,NGC,APPC,SNGLS,BURST,NLG,UTK,ITC,AST,BCPT
2018-03-25,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,USDT,ETC,VEN,QTUM,ICX,BNB,LSK,OMG,BTG,NANO,ZEC,DGD,XVG,PPT,STRAT,STEEM,SC,BCN,WAVES,RHOC,HC,KCS,LRC,CNX,QASH,VGX,DGB,IOST,PIVX,NAS,GAS,STORM,MONA,GNT,BAT,DRGN,FCT,SYS,FUN,KNC,ETN,R,ELF,SALT,ONT,XZC,GXC,REQ,RDD,NEBL,ENG,SUB,KIN,NCASH,LINK,NXT,PAY,MAID,EMC,POWR,DCN,GBYTE,DENT,MTL,BNT,CND,NULS,PART,POLY,STORJ,ICN,MNX,NXS,VTC,BLOCK,MANA,AUTO,ENJ,PLR,GVT,GNX,DTR,BTX,ACT,ANT,CVC,RLC,GNO,BTCD,QSP,SKY,POA,SMART,TNB,GAME,AGI,THETA,CS,POE,RDN,MCO,SRN,SAN,WAXP,NAV,HPB,DEW,UBQ,IGNIS,PRL,GTO,BOS,ABT,TEL,FSN,CRPT,BIX,PPP,PURA,ZEN,LEND,SPHTX,XDN,EDG,MED,ADX,BLZ,SLS,XAS,VEE,EVN,CMT,RCN,PXS,OST,MDS,XBY,DDD,DNT,TKY,ITC,ION,C20,PHX,EDO,LOOM,BCO,SNM,MOD,XP,PPC,FTC,AST,JNT,AMB,EMC2,VIBE,DATA,SMT,DTA,TNC,BAY,APPC,TNT,TRAC,QRL,WABI,SNGLS,UTK,MKR,DOGE,DCR,SNT,BTS,REP,AE,BTM,WTC,KMD,ZIL,AION,ARDR,ARK,ZRX,VERI,WGR
2018-04-01,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,XMR,MIOTA,DASH,USDT,TRX,XEM,ETC,BNB,QTUM,VEN,OMG,ICX,LSK,BTG,NANO,ZEC,XVG,BTM,DGD,PPT,BCN,STEEM,WAVES,AE,RHOC,SC,BTS,STRAT,BCD,DOGE,MKR,SNT,ZIL,DCR,REP,ZRX,VERI,KMD,HC,WTC,ONT,AION,ARDR,LRC,CNX,KCS,QASH,XZC,ETN,STORM,MITH,KNC,SUB,SALT,NXT,GBYTE,MAID,RDD,ENG,NCASH,REQ,DROP,SKY,POWR,DENT,NEBL,BNT,DCN,LINK,EMC,ACT,GNX,PAY,CND,STORJ,NXS,PART,NULS,MAN,POLY,CS,MNX,MTL,GVT,DTR,AUTO,ENJ,ICN,MANA,POA,GAME,BTX,VTC,WAXP,BTCD,BLOCK,CVC,RLC,PRL,PLR,THETA,TNB,RDN,GNO,AGI,QSP,SAN,ANT,MCO,ZEN,DEW,SMART,POE,IGNIS,SLS,PPP,BOS,FSN,TKY,SRN,NAV,ABT,UBQ,BLZ,GTO,TEL,XAS,MED,BIX,CMT,EDO,XDN,EVN,HPB,SMT,LEND,ION,RUFF,QRL,ADX,XBY,DDD,VEE,MDS,C20,SPHTX,EDG,PPC,CRPT,LOOM,PAYX,BCO,AMB,RCN,PURA,ITC,UTK,OST,PHX,BAY,AST,DATA,DTA,SNM,WPR,XP,FTC,CSC,SPANK,QLC,DNT,WINGS,EMC2,VGX,DGB,IOST,PIVX,NAS,GAS,MONA,GNT,BAT,DRGN,FCT,SYS,FUN,R,ELF,GXC,KIN,PXS
2018-04-08,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,USDT,XEM,ETC,BNB,VEN,QTUM,XVG,OMG,LSK,ICX,BTG,NANO,ZEC,BTM,STEEM,PPT,DGD,BCN,ONT,BCD,BTS,SC,STRAT,WAVES,RHOC,DCR,MKR,AE,DOGE,SNT,ZRX,ZIL,IOST,KMD,REP,ARDR,AION,LRC,HC,PIVX,CNX,KCS,ARK,WTC,VERI,BAT,QASH,CENNZ,MONA,DGB,DRGN,FCT,GNT,ELA,NAS,SUB,ELF,VGX,GAS,GXC,SYS,ETN,R,FUN,KNC,XZC,MAID,GBYTE,STORM,NXT,NCASH,POWR,RDD,SALT,LINK,REQ,DENT,PART,SKY,ENG,NEBL,BNT,WAXP,STORJ,DCN,POA,PAY,GNX,EMC,KIN,CND,ZEN,NXS,MAN,VTC,DROP,ICN,ACT,ENJ,FSN,NULS,HPB,MNX,POLY,BOS,CS,MTL,SMART,MANA,CVC,AGI,GAME,TNB,MCO,AUTO,RLC,BLOCK,SRN,GNO,POE,BTX,GVT,QSP,ANT,RDN,PRL,THETA,SAN,IGNIS,BTCD,MITH,DBC,UBQ,DTR,NAV,LOOM,XDN,ABT,TKY,PAYX,PPP,PLR,RCN,ION,DEW,GTO,CMT,BLZ,GRS,SLS,EVN,ITC,SMT,BIX,VEE,LEND,EDO,MED,XAS,PURA,ADX,QRL,TEL,BCO,RUFF,EDG,OST,DTA,DDD,SPHTX,SNM,C20,DATA,PPC,FTC,BAY,PHX,AST,EMC2,AMB,MDS,SPANK,CRPT,WINGS,CSC,MGO,UTK
2018-04-15,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,USDT,VEN,ETC,QTUM,BNB,OMG,XVG,LSK,ICX,BTM,ZEC,NANO,BTG,BCN,STEEM,WAN,SC,PPT,BTS,BTCP,DOGE,ONT,DGD,STRAT,WAVES,MKR,ZIL,RHOC,DCR,BCD,AE,SNT,ZRX,KMD,AION,LRC,GNT,REP,IOST,ARDR,DGB,KCS,HC,ARK,WTC,BAT,PIVX,CNX,ELF,DRGN,FCT,VERI,QASH,SUB,CENNZ,MONA,SYS,GAS,MITH,ELA,FUN,VGX,NXT,NAS,KNC,GXC,RDD,GBYTE,NCASH,WAXP,SALT,R,ETN,MAID,POWR,XZC,STORM,XIN,LINK,BNT,ENG,REQ,PAY,CND,NEBL,STORJ,PART,SKY,KIN,ZEN,EMC,CVC,ICN,DCN,AGI,POA,DENT,MAN,FSN,NXS,ACT,MCO,MANA,POLY,SMART,VTC,HPB,GNX,LOOM,POE,GAME,UBQ,NULS,TNB,AUTO,QSP,BLOCK,RLC,ABT,DTR,ENJ,GNO,SAN,MTL,BTX,ANT,RDN,XDN,SRN,BOS,IGNIS,SMT,BLZ,DBC,BTCD,THETA,TKY,GVT,DROP,NAV,PAYX,AST,MNX,VEE,CMT,PPP,CS,PLR,GTO,DEW,ITC,LEND,DDD,CLOAK,RCN,BAY,RUFF,BIX,OST,SLS,DATA,MED,DTA,SNM,QRL,UTK,ION,PURA,ADX,SPHTX,EDO,TEL,PHX,SNGLS,EDG,AMB,C20,SPANK,GRS,EMC2,WPR,MDS,PRL,PPC,APPC,DNT
2018-04-22,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,XMR,DASH,XEM,TRX,USDT,VEN,ETC,QTUM,OMG,BNB,ICX,LSK,BTG,ZEC,XVG,PPT,BTCP,NANO,BTM,BCN,STEEM,ZIL,BTS,BCD,WAN,SC,DOGE,MKR,STRAT,DGD,RHOC,AE,AION,SNT,ZRX,WAVES,GNT,DCR,ONT,REP,LRC,BAT,KMD,IOST,WTC,ARDR,DGB,ARK,DCN,HC,DRGN,PIVX,KCS,MITH,ELF,CENNZ,CNX,QASH,SUB,VERI,FCT,SYS,GAS,MONA,XIN,KNC,VGX,STORM,RDD,ELA,FUN,GXC,NAS,WAXP,SALT,R,XZC,MCO,BNT,NXT,ENG,POWR,GTC,GBYTE,MANA,LINK,NCASH,PAY,MAID,SMART,KIN,SKY,ETN,REQ,STORJ,FSN,NEBL,DENT,DBC,ICN,LOOM,PART,EMC,CND,CVC,BTX,ACT,MAN,NXS,ZEN,POLY,RLC,AGI,POE,GNO,GAME,QSP,POA,TPAY,BOS,TNB,MTL,ABT,PPP,VTC,PAYX,NULS,SAN,AUTO,CTXC,GNX,UBQ,ANT,ENJ,RDN,HPB,MED,GRS,SMT,GTO,LCC,DTR,BLOCK,XDN,CMT,THETA,BTCD,NAV,BLZ,PHX,RUFF,SPHTX,INK,IGNIS,SRN,GVT,DDD,CS,LEND,VEE,TKY,ADX,DROP,DTA,AST,CRPT,OST,SNM,EMC2,AMB,CLOAK,RCN,ITC,BAY,PLR,GRE,DATA,DEW,TEL,QRL,EDO,MNX,BIX,DNT,C20,IHT,SLS,ION,PPC,WPR
2018-04-29,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,NEO,TRX,MIOTA,XMR,DASH,XEM,VEN,USDT,ETC,QTUM,OMG,ICX,BNB,LSK,BTG,AE,ZEC,NANO,STEEM,BTM,XVG,ONT,SC,PPT,BCN,WAN,BTS,BCD,ZIL,BTCP,STRAT,WAVES,ZRX,MKR,DOGE,RHOC,XIN,SNT,DCR,LRC,DGD,HC,AION,WTC,IOST,GNT,BAT,ELF,REP,DGB,KMD,ARDR,ARK,KNC,NAS,MITH,CTXC,KCS,QASH,GAS,MONA,PIVX,CENNZ,SUB,SYS,VGX,CNX,STORM,DRGN,DCN,ELA,RDD,GXC,FCT,SALT,BNT,GTO,FUN,VERI,POWR,ENG,NXT,WAXP,XZC,NEBL,FSN,MCO,LOOM,NCASH,KIN,R,DBC,LINK,REQ,GBYTE,NULS,MAID,ETN,ACT,SMT,PAY,CND,MANA,STORJ,ICN,CMT,POA,ZEN,PART,SKY,BOS,CVC,MAN,NXS,BTCD,EMC,RUFF,POE,RLC,TPAY,AGI,SMART,TNB,LCC,MTL,VTC,ABT,PHX,QSP,POLY,ENJ,BLZ,DENT,SAN,CPX,GNO,SRN,ANT,HT,GAME,RDN,HPB,AMB,PPP,DTR,GTC,ZCL,SPHTX,BTX,GNX,AUTO,MED,BLOCK,DROP,TOMO,GRS,DTA,BTO,PAYX,XDN,XAS,DEW,CS,UBQ,TKY,THETA,PLR,SNM,LEND,DDD,NAV,GVT,VEE,IGNIS,OST,AST,EDO,BCO,CLOAK,INK,ADX,BAY,C20,NANJ,BIX,RCN,EMC2,ITC,SNGLS,BRD,APPC,VIBE
2018-05-06,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,VEN,ETC,USDT,QTUM,OMG,ICX,BNB,LSK,BCN,BTG,NANO,XVG,ZEC,ONT,ZIL,AE,STEEM,SC,WAN,BTS,ZRX,BTM,BCD,STRAT,PPT,WAVES,RHOC,MKR,BTCP,GNT,DCR,SNT,DOGE,HC,DGD,IOST,WTC,LRC,DGB,REP,XIN,AION,BAT,ELF,KMD,ARDR,MITH,WICC,ARK,NAS,KCS,GAS,PIVX,LOOM,ELA,KNC,SUB,MONA,RDD,CTXC,QASH,BNT,SYS,CNX,CENNZ,FUN,VGX,BTCD,STORM,GXC,DRGN,FSN,DCN,VERI,NXT,WAXP,SALT,CMT,XZC,FCT,GTO,POLY,ETN,BFT,ENG,SOC,POWR,MAN,LINK,NCASH,NEBL,ACT,R,SKY,REQ,MCO,DBC,GBYTE,MANA,MAID,ICN,KIN,PAYX,PAY,TNB,EMC,STORJ,CND,QSP,NULS,ZEN,PART,NXS,POA,CVC,ABT,BTO,HT,RLC,DENT,GNX,AGI,GNO,CPX,RUFF,IGNIS,SRN,XDN,MTL,POE,ANT,ENJ,AMB,HPB,SMT,SAN,DDD,BOS,VTC,BLZ,BTX,SMART,TPAY,DROP,GAME,DPY,LCC,GTC,RDN,THETA,PHX,BCO,TOMO,DTA,XAS,GRS,SNM,DTR,DEW,ZEBI,MED,SPHTX,UBQ,IHT,PPP,LEND,CS,TKY,BLOCK,GVT,INK,AUTO,NAV,PPC,ITC,ZCL,BIX,OST,CLOAK,PLR,C20,RCN,EDO,ADX,AST,BRD
2018-05-13,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,VEN,BCN,USDT,ETC,ICX,QTUM,BNB,OMG,ZIL,LSK,ZEC,BTG,ONT,XVG,ZRX,AE,NANO,STEEM,WAN,SC,BTM,BTS,BCD,WAVES,DCR,STRAT,MKR,RHOC,PPT,REP,BTCP,GNT,IOST,DOGE,SNT,DGB,AION,HC,DGD,XIN,WTC,LRC,NAS,BAT,ARK,ELF,MITH,DCN,KMD,ARDR,PIVX,LOOM,KCS,WICC,KNC,GAS,CNX,POLY,FSN,VGX,BNT,MONA,ELA,SUB,FUN,SKY,QASH,RDD,GXC,CENNZ,SYS,CTXC,DRGN,KIN,ENG,NULS,VERI,STORM,MAN,SALT,CMT,NXT,XZC,HT,FCT,WAXP,LINK,NEXO,ETN,NEBL,MAID,BFT,POWR,R,MCO,NCASH,HOT,ACT,GBYTE,GTO,REQ,MANA,DBC,TRUE,EMC,SOC,RLC,POA,PAY,SNM,ICN,STORJ,CVC,BTO,DDD,ZEN,CND,NXS,BTCD,SMART,QSP,ANT,THETA,DROP,SPHTX,PART,TNB,RUFF,BLZ,SMT,ABT,CS,ENJ,GNO,IGNIS,GTC,TPAY,HPB,PAYX,GNX,AGI,VTC,XDN,BOS,SRN,TOMO,MTL,TKY,DATA,POE,DENT,GAME,GRS,CPX,XAS,DPY,SAN,AMB,BCO,LCC,IHT,RDN,DTA,BIX,TRAC,ZEBI,PHX,DTR,DEW,UBQ,BLOCK,BTX,PPP,ITC,ECA,LEND,GVT,ZCL,NAV,INK,C20,MED,PPC,PLR,OST,MDS
2018-05-20,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,XMR,DASH,XEM,USDT,VEN,ETC,BCN,BNB,QTUM,ICX,ZEC,OMG,LSK,ZIL,BTG,AE,ONT,XVG,DCR,STEEM,ZRX,NANO,BTM,BTS,SC,WAN,PPT,BCD,WAVES,REP,RHOC,STRAT,MKR,DOGE,BTCP,IOST,GNT,DGB,SNT,HC,WTC,DGD,AION,LRC,XIN,KMD,KCS,BAT,NAS,ELF,WICC,ARK,ARDR,LOOM,PIVX,DCN,CTXC,POLY,FSN,KNC,BNT,GAS,ELA,SYS,FUN,MITH,CNX,VGX,HT,RDD,MONA,SUB,GXC,QASH,SKY,STORM,CMT,DRGN,VERI,NULS,MAID,ENG,CENNZ,KIN,XZC,HOT,SALT,GTO,RLC,ETN,NXT,WAXP,MAN,LINK,POWR,R,FCT,DBC,SOC,BFT,GBYTE,MCO,QSP,NCASH,THETA,PAYX,NEBL,PAY,TRUE,REQ,MANA,EMC,ACT,STORJ,NEXO,DROP,BTO,DDD,ICN,ZEN,SMART,CVC,ABT,TNB,PART,NXS,CND,BTCD,POA,BIX,ENJ,XAS,IHT,GTC,SPHTX,ANT,GNO,DPY,HPB,CS,SNM,VTC,RUFF,SMT,BLOCK,BLZ,IGNIS,MTL,GNX,XDN,INK,SRN,AGI,RDN,DEW,POE,DENT,BOS,SAN,TOMO,GAME,DTA,CPX,GRS,UBQ,DTR,TKY,NAV,JNT,TPAY,AMB,CRPT,BCO,PHX,GVT,TRAC,DATA,MED,LCC,AUTO,PPC,LYM,CVT,ZPT,LEND,ZEBI,AST,C20,REN
2018-05-27,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,XMR,DASH,USDT,XEM,VEN,ETC,BNB,QTUM,BCN,OMG,ZEC,ICX,LSK,ZIL,ONT,BTG,AE,BTM,DCR,STEEM,ZRX,XVG,SC,IOST,SNT,HC,AION,LRC,KCS,BAT,NAS,DGD,ARDR,KMD,ELF,ARK,LOOM,PIVX,CMT,CTXC,POLY,MAID,ELA,MONA,CNX,DCN,BNT,SYS,HT,SKY,RDD,VERI,GAS,MITH,QASH,KNC,RLC,FUN,GXC,VGX,FSN,ETN,SUB,CENNZ,DRGN,FCT,XZC,NULS,ENG,KIN,NXT,STORM,HOT,SOC,TRUE,ZEN,GTO,MAN,WAXP,BFT,LINK,SALT,POWR,NXS,CVC,BIX,DBC,ACT,NEXO,GBYTE,DROP,BTO,NEBL,EOSDAC,MCO,R,QSP,PAY,REQ,MTC,THETA,BLOCK,EMC,NCASH,DDD,STORJ,DPY,MANA,IHT,BTCD,HPB,ICN,SMART,CND,XAS,TNB,GTC,PAYX,PART,ENJ,ABT,AGI,ANT,RUFF,SNM,VTC,GNO,CS,SPHTX,IGNIS,BLZ,POA,XDN,MED,GRS,SMT,LYM,BOS,DENT,MTL,INK,DTR,SRN,TKY,SAN,RDN,GAME,JNT,GNX,DEW,POE,UBQ,CRPT,MDS,NAV,DTA,BTX,AUTO,BCO,CPX,VEE,DATA,TPAY,TRAC,EKT,C20,CVT,PPC,AMB,BOT,ZEBI,XPM,NANO,BTS,WAN,PPT,BCD,WAVES,REP,RHOC,STRAT,MKR,DOGE,BTCP,GNT,DGB,WTC,XIN,WICC
2018-06-03,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,USDT,XEM,VEN,BNB,ETC,QTUM,OMG,BCN,ICX,LSK,ZEC,ONT,ZIL,AE,BTG,ZRX,DCR,BTM,STEEM,XVG,BTS,NANO,SC,GNT,RHOC,WAN,MKR,BTCP,PPT,BCD,STRAT,REP,WAVES,DOGE,IOST,DGB,WTC,SNT,HC,AION,NAS,XIN,WICC,LRC,BAT,KCS,DGD,ELF,KMD,HT,ARK,ARDR,CMT,MAID,LOOM,PIVX,DCN,BNT,GXC,GAS,ELA,KNC,CTXC,POLY,MONA,MOAC,NXT,ETN,STORM,FCT,XZC,SOC,BFT,BIX,DROP,HOT,GTO,RLC,POWR,WAXP,LINK,DDD,SALT,MAN,DBC,MCO,BLOCK,ACT,STORJ,ZEN,TRUE,CVC,MANA,QSP,GBYTE,NEXO,HPB,NCASH,NEBL,EOSDAC,PAY,REQ,AGI,RUFF,EMC,DPY,ICN,DENT,TNB,CND,BTO,ABT,R,BTCD,IHT,LYM,SMART,STQ,GTC,ANT,PART,ENJ,GNO,POA,BLZ,SAN,XAS,VTC,SMT,CS,MTC,SPHTX,GNX,GRS,SRN,SNM,IGNIS,MTL,RDN,BOS,XDN,GAME,POE,MDS,TKY,ITC,EKT,DEW,DTR,DTA,UBQ,AMB,NAV,VEE,GVT,IOTX,DATA,TRAC,JNT,CRPT,PLR,INK,CPX,AUTO,C20,TPAY,ZCL,CVT,BURST,CNX,SYS,SKY,RDD,VERI,MITH,QASH,FUN,VGX,FSN,SUB,CENNZ,DRGN,NULS,ENG,KIN,NXS,THETA
2018-06-10,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,USDT,XMR,DASH,XEM,VEN,BNB,ETC,ONT,QTUM,OMG,BCN,ZEC,ICX,ZIL,LSK,AE,DCR,BTG,ZRX,BTM,SC,STEEM,XVG,BTS,MKR,NANO,RHOC,WAVES,WAN,DOGE,GNT,REP,BCD,STRAT,PPT,BTCP,XIN,DGB,WTC,SNT,AION,IOST,NAS,HC,DGD,HT,LRC,BAT,KMD,GXC,KCS,WICC,ELF,ARK,ARDR,ELA,BNT,MONA,MOAC,PIVX,CNX,VERI,RDD,VGX,GAS,CMT,DCN,BIX,MAID,QASH,KNC,SYS,FSN,CTXC,MITH,POLY,SKY,FUN,LOOM,NULS,XZC,KIN,NXT,SUB,CENNZ,THETA,ETN,DROP,DRGN,ENG,FCT,DDD,STORM,POWR,BFT,HOT,MANA,EMC,DBC,RLC,GTO,SOC,NXS,WAXP,BLOCK,GBYTE,MAN,EOSDAC,HPB,SALT,LINK,MCO,STORJ,BCI,CVC,NEBL,PAY,BTCD,SMART,ACT,PAYX,NEXO,ICN,QSP,XAS,ZEN,R,REQ,AGI,NCASH,TRUE,GAME,BTO,TNB,CND,RUFF,ANT,ENJ,IHT,GNO,ABT,DENT,BLZ,STQ,DPY,LYM,SAN,GTC,SMT,PART,VTC,IGNIS,GNX,DATA,GRS,SNM,CVT,TKY,POA,SRN,QKC,MTL,CRPT,SPHTX,BOS,XDN,DTR,POE,MDS,CS,PLR,DEW,VEE,C20,RDN,AMB,ITC,NAV,UBQ,TPAY,GVT,EXC,TEN,MTC,XSN,TRAC,TUSD,CPX,REN
2018-06-17,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,USDT,NEO,DASH,XMR,BNB,XEM,VEN,ETC,QTUM,ONT,OMG,ZEC,ICX,BCN,LSK,DCR,ZIL,AE,BTM,BTG,ZRX,SC,STEEM,XVG,BTS,RHOC,REP,BCD,NANO,WAVES,MKR,DOGE,GNT,BTCP,STRAT,WAN,PPT,DGB,WTC,SNT,NAS,HC,AION,BAT,KCS,IOST,DGD,HT,LRC,KMD,GXC,ARDR,ELF,CNX,RDD,BNT,ARK,MONA,MOAC,PIVX,MAID,ELA,CMT,MITH,WICC,GAS,KNC,DCN,VERI,LOOM,VGX,FSN,BIX,FUN,SYS,MANA,CTXC,DROP,NXT,EMC,KIN,QASH,POLY,NULS,ENG,DDD,DRGN,SUB,THETA,BLOCK,XZC,POWR,FCT,ETN,MTC,EOSDAC,BFT,STORM,SKY,SOC,CENNZ,GBYTE,NXS,GTC,DBC,RLC,MCO,GTO,ZEN,HOT,STORJ,WAXP,PAYX,LINK,SMART,ACT,NEXO,REQ,MAN,SALT,HPB,R,ICN,BCI,CVC,XAS,PAY,AGI,TRUE,BTO,NEBL,ANT,NCASH,BTCD,MDS,TNB,RUFF,ABT,SAN,CND,STQ,QSP,ENJ,GAME,SNM,LYM,GNO,DENT,CVT,IGNIS,BLZ,GRS,DEW,OCN,TUSD,MTL,IHT,GNX,XDN,DTR,CRPT,VTC,QKC,SMT,SPHTX,BOS,CS,PART,AMB,POA,DATA,TKY,C20,PLR,SRN,SAI,ZCL,RDN,REN,TIO,POE,VEE,TPAY,BRD,GVT,DPY,IOTX,XSN,PPC,ITC
2018-06-24,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,USDT,NEO,XMR,DASH,BNB,ETC,XEM,VEN,OMG,ONT,QTUM,ZEC,ICX,LSK,DCR,BCN,ZIL,AE,BTG,SC,BTM,ZRX,XVG,BTS,STEEM,REP,MKR,NANO,DOGE,RHOC,BCD,WAVES,BAT,WAN,BTCP,GNT,STRAT,PPT,DGB,WTC,NAS,KCS,HC,SNT,IOST,HT,AION,DGD,LRC,KMD,CNX,RDD,GXC,BNT,MOAC,MAID,ARK,ARDR,MONA,ELF,CENNZ,DCN,FUN,DROP,MITH,ENG,VERI,PIVX,KNC,BIX,GAS,MANA,WICC,ELA,EMC,SYS,CMT,FSN,KIN,LOOM,NXT,THETA,VGX,DRGN,FCT,CTXC,MTC,QASH,BFT,POLY,DDD,XZC,NULS,GTC,SUB,SMART,PAYX,GBYTE,MCO,STORM,WAXP,ETN,TUSD,POWR,NXS,ZEN,BLOCK,EOSDAC,LINK,R,GTO,BTCD,DBC,STORJ,NEXO,SNM,AGI,MAN,RLC,SOC,ICN,DATA,SALT,HPB,PAY,CVC,ACT,HOT,REQ,NCASH,CVT,MDS,XAS,ANT,SKY,RUFF,TNB,GNO,NEBL,SAN,SMT,BTO,DEW,CND,BCI,ABT,STQ,SAI,ODE,DTR,GAME,TRUE,EKT,ENJ,XDN,BOS,GRS,C20,BLZ,DENT,NANJ,VEE,ZCL,SRN,UBQ,QKC,POA,TIO,LYM,SPHTX,EDR,REN,MTL,QSP,IGNIS,OCN,IHT,GNX,CRPT,VTC,CS,PART,AMB,TKY,PLR,RDN,POE,TPAY,BRD,GVT
